Continent,Country,Recipe Name,Recipe Link and Description
North America,Cuba,Cuban Sandwich,https://www.epicurious.com/recipes/food/views/grilled-cuban-sandwich-em-sandwich-cubano-em-364812
North America,Cuba,Cuban Pumpkin Flan,https://adorefoods.com/cuban-pumpkin-flan/
North America,Panama,,
North America,Jamaica,,
North America,Haiti,,
North America,Guatemala,,
North America,Costa Rica,,
North America,Dominican Republic,,
North America,Puerto Rico,,
North America,Honduras,,
North America,The Bahamas,,
North America,Barbados,,
North America,Grenada,,
North America,Belize,,
North America,Martinique,,
North America,Cayman Islands,,
North America,Dominica,,
North America,Saint Barthelemy,,
North America,Nicaragua,,
North America,El Salvador,,
North America,US Virgin Islands,,
North America,Saint Martin,,
North America,Antigua and Barbuda,,
North America,British Virgin Islands,,
North America,Saint Pierre and Miquelon,,
North America,Saint Lucia,,
North America,Guadeloupe,,
North America,Anguilla,,
North America,Saint Kitts and Nevis,,
North America,Saint Vincents and the Grenadines,,
North America,Sint Maarten,,
North America,Monserrat,,
South America,Brazil,,
South America,Argentina,,
South America,Columbia,,
South America,Peru,,
South America,Chile,,
South America,Venezuela,,
South America,Ecuador,,
South America,Bolivia,,
South America,Guyana,,
South America,Uraguay,,
South America,Suriname,,
South America,Paraguay,,
South America,French Guiana,,
South America,Falkland Islands,,
South America,Trinidad and Tobgo,,
South America,Aruba,,
South America,Curacao,,
South America,Caribbean Netherlands,,
Europe,Germany,,
Europe,France,,
Europe,Italy,,
Europe,England (UK),,
Europe,Wales (UK),,
Europe,Scotland (UK),,
Europe,Netherlands,,
Europe,Sweden,,
Europe,Switzerland,,
Europe,Poland,,
Europe,Greece,,
Europe,Belgium,,
Europe,Austria,,
Europe,Czechia,,
Europe,Republic of Ireland,,
Europe,Denmark,,
Europe,Norway,,
Europe,Finland,,
Europe,Ukraine,,
Europe,Romania,,
Europe,Croatia,,
Europe,Iceland,,
Europe,Hungary,,
Europe,Luxembourg,,
Europe,Malta,,
Europe,Bulgaira,,
Europe,Cyprus,,
Europe,Belarus,,
Europe,Serbia,,
Europe,Albania,,
Europe,Slovenia,,
Europe,Lithuania,,
Europe,Slovakia,,
Europe,Estonia,,
Europe,Leichtenstein,,
Europe,Latvia,,
Europe,Moldova,,
Europe,Andorra,,
Europe,North Macedonia,,
Europe,Kosovo,,
Europe,Montenegro,,
Europe,Bosnia and Herzgovina,,
Europe,San Marino,,
Europe,Gibraltar,,
Europe,Faroe Islands,,
Europe,Jersey,,
Europe,Aland Islands,,
Africa,,,
Asia,,,
Oceania,,,